1332,"NIPPON SUISAN KAISHA, LTD.",日本水産,50,Fishery,Consumer Goods
1333,MARUHA NICHIRO CORP.,マルハニチロ,500,Fishery,Consumer Goods
1605,INPEX CORP.,国際石油開発帝石,125,Mining,Materials
1721,COMSYS HOLDINGS CORP.,コムシスホールディングス,50,Construction,Capital Goods/Others
1801,TAISEI CORP.,大成建設,250,Construction,Capital Goods/Others
1802,OBAYASHI CORP.,大林組,50,Construction,Capital Goods/Others
1803,SHIMIZU CORP.,清水建設,50,Construction,Capital Goods/Others
1808,HASEKO CORP.,長谷工コーポレーション,250,Construction,Capital Goods/Others
1812,KAJIMA CORP.,鹿島建設,100,Construction,Capital Goods/Others
1925,"DAIWA HOUSE IND. CO., LTD.",大和ハウス工業,50,Construction,Capital Goods/Others
1928,"SEKISUI HOUSE, LTD.",積水ハウス,50,Construction,Capital Goods/Others
1963,JGC HOLDINGS CORP.,日揮ホールディングス,50,Construction,Capital Goods/Others
2002,NISSHIN SEIFUN GROUP INC.,日清製粉グループ本社,50,Foods,Consumer Goods
2269,"MEIJI HOLDINGS CO., LTD.",明治ホールディングス,250,Foods,Consumer Goods
2282,NH FOODS LTD.,日本ハム,100,Foods,Consumer Goods
2413,"M3, INC.",エムスリー,125/6,Services,Consumer Goods
2432,"DENA CO., LTD.",ディー・エヌ・エー,500/3,Services,Consumer Goods
2501,SAPPORO HOLDINGS LTD.,サッポロホールディングス,250,Foods,Consumer Goods
2502,"ASAHI GROUP HOLDINGS, LTD.",アサヒグループホールディングス,50,Foods,Consumer Goods
2503,"KIRIN HOLDINGS CO., LTD.",キリンホールディングス,50,Foods,Consumer Goods
2531,TAKARA HOLDINGS INC.,宝ホールディングス,50,Foods,Consumer Goods
2768,SOJITZ CORP.,双日,500,Trading Companies,Materials
2801,KIKKOMAN CORP.,キッコーマン,50,Foods,Consumer Goods
2802,"AJINOMOTO CO., INC.",味の素,50,Foods,Consumer Goods
2871,NICHIREI CORP.,ニチレイ,100,Foods,Consumer Goods
2914,JAPAN TOBACCO INC.,日本たばこ産業,50,Foods,Consumer Goods
3086,"J.FRONT RETAILING CO., LTD.",Ｊ．フロントリテイリング,100,Retail,Consumer Goods
3099,ISETAN MITSUKOSHI HOLDINGS LTD.,三越伊勢丹ホールディングス,50,Retail,Consumer Goods
3101,"TOYOBO CO., LTD.",東洋紡,500,Textiles & Apparel,Materials
3103,"UNITIKA, LTD.",ユニチカ,500,Textiles & Apparel,Materials
3105,NISSHINBO HOLDINGS INC.,日清紡ホールディングス,50,Electric Machinery,Technology
3289,TOKYU FUDOSAN HOLDINGS CORP.,東急不動産ホールディングス,50,Real Estate,Capital Goods/Others
3382,"SEVEN & I HOLDINGS CO., LTD.",セブン＆アイ・ホールディングス,50,Retail,Consumer Goods
3401,TEIJIN LTD.,帝人,250,Textiles & Apparel,Materials
3402,"TORAY INDUSTRIES, INC.",東レ,50,Textiles & Apparel,Materials
3405,"KURARAY CO., LTD.",クラレ,50,Chemicals,Materials
3407,ASAHI KASEI CORP.,旭化成,50,Chemicals,Materials
3436,SUMCO CORP.,ＳＵＭＣＯ,500,Nonferrous Metals,Materials
3861,OJI HOLDINGS CORP.,王子ホールディングス,50,Pulp & Paper,Materials
3863,"NIPPON PAPER INDUSTRIES CO., LTD.",日本製紙,500,Pulp & Paper,Materials
4004,SHOWA DENKO K.K.,昭和電工,500,Chemicals,Materials
4005,"SUMITOMO CHEMICAL CO., LTD.",住友化学,50,Chemicals,Materials
4021,NISSAN CHEMICAL CORP.,日産化学,50,Chemicals,Materials
4042,TOSOH CORP.,東ソー,100,Chemicals,Materials
4043,TOKUYAMA CORP.,トクヤマ,250,Chemicals,Materials
4061,"DENKA CO., LTD.",デンカ,250,Chemicals,Materials
4063,"SHIN-ETSU CHEMICAL CO., LTD.",信越化学工業,50,Chemicals,Materials
4151,"KYOWA KIRIN CO., LTD.",協和キリン,50,Pharmaceuticals,Technology
4183,"MITSUI CHEMICALS, INC.",三井化学,250,Chemicals,Materials
4188,MITSUBISHI CHEMICAL HOLDINGS CORP.,三菱ケミカルホールディングス,100,Chemicals,Materials
4208,"UBE INDUSTRIES, LTD.",宇部興産,500,Chemicals,Materials
4272,"NIPPON KAYAKU CO., LTD.",日本化薬,50,Chemicals,Materials
4324,DENTSU INC.,電通,50,Services,Consumer Goods
4452,KAO CORP.,花王,50,Chemicals,Materials
4502,"TAKEDA PHARMACEUTICAL CO., LTD.",武田薬品工業,50,Pharmaceuticals,Technology
4503,ASTELLAS PHARMA INC.,アステラス製薬,10,Pharmaceuticals,Technology
4506,"SUMITOMO DAINIPPON PHARMA CO., LTD.",大日本住友製薬,50,Pharmaceuticals,Technology
4507,"SHIONOGI & CO., LTD.",塩野義製薬,50,Pharmaceuticals,Technology
